group,setting,model,variant,question_id,category,abstained,faithfulness,relevance,citation_accuracy,tool_correctness,abstain_accuracy,overall,input_tokens,output_tokens,cost_tokens,cost_units,latency_s,tools
variant,S0_pure_llm,qwen2.5:3b,S0_pure_llm:full,q01,answerable,False,0.0,0.0,0.0,1.0,1.0,0.4,15,53,68,68.0,28.65,
variant,S0_pure_llm,qwen2.5:3b,S0_pure_llm:full,q02,answerable,False,0.0,0.0,0.0,1.0,1.0,0.4,7,44,51,51.0,0.861,
variant,S0_pure_llm,qwen2.5:3b,S0_pure_llm:full,q03,answerable,False,0.0,0.3333,0.0,1.0,1.0,0.4667,8,19,27,27.0,0.428,
variant,S0_pure_llm,qwen2.5:3b,S0_pure_llm:full,q04,answerable,False,0.0,0.0,0.0,1.0,1.0,0.4,8,75,83,83.0,1.438,
variant,S0_pure_llm,qwen2.5:3b,S0_pure_llm:full,q05,answerable,False,0.0,0.0,0.0,1.0,1.0,0.4,8,59,67,67.0,1.253,
variant,S0_pure_llm,qwen2.5:3b,S0_pure_llm:full,q06,answerable,False,0.0,0.0,0.0,1.0,1.0,0.4,7,59,66,66.0,1.098,
variant,S0_pure_llm,qwen2.5:3b,S0_pure_llm:full,q07,answerable,False,0.0,0.0,0.0,1.0,1.0,0.4,8,60,68,68.0,1.343,
variant,S0_pure_llm,qwen2.5:3b,S0_pure_llm:full,q08,answerable,False,0.0,0.0,0.0,1.0,1.0,0.4,9,79,88,88.0,1.487,
variant,S0_pure_llm,qwen2.5:3b,S0_pure_llm:full,q09,answerable,False,0.0,0.0,0.0,1.0,1.0,0.4,10,106,116,116.0,2.087,
variant,S0_pure_llm,qwen2.5:3b,S0_pure_llm:full,q10,answerable,False,0.0,0.0,0.0,1.0,1.0,0.4,4,34,38,38.0,0.67,
variant,S0_pure_llm,qwen2.5:3b,S0_pure_llm:full,q11,multi_step,False,0.0,0.0,0.0,1.0,1.0,0.4,18,41,59,59.0,0.912,
variant,S0_pure_llm,qwen2.5:3b,S0_pure_llm:full,q12,multi_step,False,0.0,0.5,0.0,1.0,1.0,0.5,10,60,70,70.0,1.093,
variant,S0_pure_llm,qwen2.5:3b,S0_pure_llm:full,q13,multi_step,False,0.0,0.0,0.0,1.0,1.0,0.4,14,37,51,51.0,0.77,
variant,S0_pure_llm,qwen2.5:3b,S0_pure_llm:full,q14,multi_step,False,0.0,0.0,0.0,1.0,1.0,0.4,9,38,47,47.0,0.753,
variant,S0_pure_llm,qwen2.5:3b,S0_pure_llm:full,q15,answerable,False,0.0,0.0,0.0,1.0,1.0,0.4,5,37,42,42.0,0.72,
variant,S0_pure_llm,qwen2.5:3b,S0_pure_llm:full,q16,answerable,False,0.0,0.0,0.0,1.0,1.0,0.4,6,43,49,49.0,1.029,
variant,S0_pure_llm,qwen2.5:3b,S0_pure_llm:full,q17,answerable,False,0.0,0.0,0.0,1.0,1.0,0.4,6,34,40,40.0,0.725,
variant,S0_pure_llm,qwen2.5:3b,S0_pure_llm:full,q18,answerable,False,0.0,0.0,0.0,1.0,1.0,0.4,8,39,47,47.0,0.881,
variant,S0_pure_llm,qwen2.5:3b,S0_pure_llm:full,q19,unanswerable,True,1.0,1.0,1.0,1.0,1.0,1.0,13,6,19,19.0,0.0,
variant,S0_pure_llm,qwen2.5:3b,S0_pure_llm:full,q20,unanswerable,True,1.0,1.0,1.0,1.0,1.0,1.0,7,10,17,17.0,0.0,
variant,S0_pure_llm,qwen2.5:3b,S0_pure_llm:full,q21,unanswerable,True,1.0,1.0,1.0,1.0,1.0,1.0,11,6,17,17.0,0.0,
variant,S0_pure_llm,qwen2.5:3b,S0_pure_llm:full,q22,unanswerable,True,1.0,1.0,1.0,1.0,1.0,1.0,9,9,18,18.0,0.0,
variant,S0_pure_llm,qwen2.5:3b,S0_pure_llm:full,q23,unanswerable,True,1.0,1.0,1.0,1.0,1.0,1.0,8,12,20,20.0,0.0,
variant,S0_pure_llm,qwen2.5:3b,S0_pure_llm:full,q24,unanswerable,True,1.0,1.0,1.0,1.0,1.0,1.0,7,9,16,16.0,0.0,
variant,S0_pure_llm,qwen2.5:3b,S0_pure_llm:full,q25,adversarial,True,1.0,1.0,1.0,1.0,1.0,1.0,15,10,25,25.0,0.0,
variant,S0_pure_llm,qwen2.5:3b,S0_pure_llm:full,q26,adversarial,False,0.0,0.0,0.0,1.0,1.0,0.4,11,36,47,47.0,0.681,
variant,S0_pure_llm,qwen2.5:3b,S0_pure_llm:full,q27,adversarial,True,1.0,1.0,1.0,1.0,1.0,1.0,10,10,20,20.0,0.0,
variant,S0_pure_llm,qwen2.5:3b,S0_pure_llm:full,q28,adversarial,True,1.0,1.0,1.0,1.0,1.0,1.0,9,13,22,22.0,0.0,
variant,S0_pure_llm,qwen2.5:3b,S0_pure_llm:full,q29,adversarial,True,1.0,1.0,1.0,1.0,1.0,1.0,12,8,20,20.0,0.0,
variant,S0_pure_llm,qwen2.5:3b,S0_pure_llm:full,q30,adversarial,True,1.0,1.0,1.0,1.0,1.0,1.0,9,8,17,17.0,0.0,
variant,S0_pure_llm,qwen2.5:3b,S0_pure_llm:full,q31,answerable,False,0.0,0.0,0.0,1.0,1.0,0.4,11,15,26,26.0,0.315,
variant,S0_pure_llm,qwen2.5:3b,S0_pure_llm:full,q32,answerable,False,0.0,0.0,0.0,1.0,1.0,0.4,13,16,29,29.0,0.343,
variant,S0_pure_llm,qwen2.5:3b,S0_pure_llm:full,q33,answerable,True,0.3,0.0,1.0,0.0,0.0,0.26,17,6,23,23.0,0.0,
variant,S0_pure_llm,qwen2.5:3b,S0_pure_llm:full,q34,answerable,True,0.3,0.0,1.0,0.0,0.0,0.26,10,6,16,16.0,0.001,
variant,S0_pure_llm,qwen2.5:3b,S0_pure_llm:full,q35,answerable,False,0.0,0.5,0.0,0.0,1.0,0.3,8,27,35,35.0,0.609,
variant,S0_pure_llm,qwen2.5:3b,S0_pure_llm:full,q36,answerable,False,0.0,0.5,0.0,0.0,1.0,0.3,9,36,45,45.0,0.699,
variant,S1_rag_only,qwen2.5:3b,S1_rag_only:full,q01,answerable,False,0.75,0.0,0.5,1.0,1.0,0.65,15,68,157,157.0,3.285,search_kb
variant,S1_rag_only,qwen2.5:3b,S1_rag_only:full,q02,answerable,False,0.75,1.0,0.5,1.0,1.0,0.85,7,23,94,94.0,9.882,search_kb
variant,S1_rag_only,qwen2.5:3b,S1_rag_only:full,q03,answerable,False,1.0,1.0,1.0,1.0,1.0,1.0,8,32,119,119.0,6.944,search_kb
variant,S1_rag_only,qwen2.5:3b,S1_rag_only:full,q04,answerable,False,1.0,1.0,1.0,1.0,1.0,1.0,8,21,90,90.0,7.295,search_kb
variant,S1_rag_only,qwen2.5:3b,S1_rag_only:full,q05,answerable,False,1.0,0.6667,1.0,1.0,1.0,0.9333,8,28,101,101.0,9.411,search_kb
variant,S1_rag_only,qwen2.5:3b,S1_rag_only:full,q06,answerable,False,0.75,0.3333,0.5,1.0,1.0,0.7167,7,24,88,88.0,9.914,search_kb
variant,S1_rag_only,qwen2.5:3b,S1_rag_only:full,q07,answerable,False,1.0,0.6667,1.0,1.0,1.0,0.9333,8,28,100,100.0,7.73,search_kb
variant,S1_rag_only,qwen2.5:3b,S1_rag_only:full,q08,answerable,False,1.0,0.3333,1.0,1.0,1.0,0.8667,9,28,102,102.0,8.204,search_kb
variant,S1_rag_only,qwen2.5:3b,S1_rag_only:full,q09,answerable,False,1.0,1.0,1.0,1.0,1.0,1.0,10,21,92,92.0,6.637,search_kb
variant,S1_rag_only,qwen2.5:3b,S1_rag_only:full,q10,answerable,False,1.0,0.0,1.0,1.0,1.0,0.8,4,23,98,98.0,7.614,search_kb
variant,S1_rag_only,qwen2.5:3b,S1_rag_only:full,q11,multi_step,False,0.8333,0.0,0.6667,1.0,1.0,0.7,18,23,124,124.0,4.611,search_kb
variant,S1_rag_only,qwen2.5:3b,S1_rag_only:full,q12,multi_step,False,0.5,0.5,0.0,1.0,1.0,0.6,10,23,109,109.0,8.131,search_kb
variant,S1_rag_only,qwen2.5:3b,S1_rag_only:full,q13,multi_step,False,1.0,0.25,1.0,1.0,1.0,0.85,14,28,123,123.0,5.484,search_kb
variant,S1_rag_only,qwen2.5:3b,S1_rag_only:full,q14,multi_step,False,0.6667,1.0,0.3333,1.0,1.0,0.8,9,28,109,109.0,3.31,search_kb
variant,S1_rag_only,qwen2.5:3b,S1_rag_only:full,q15,answerable,False,1.0,0.3333,1.0,1.0,1.0,0.8667,5,27,104,104.0,9.659,search_kb
variant,S1_rag_only,qwen2.5:3b,S1_rag_only:full,q16,answerable,False,1.0,0.6667,1.0,1.0,1.0,0.9333,6,28,97,97.0,7.188,search_kb
variant,S1_rag_only,qwen2.5:3b,S1_rag_only:full,q17,answerable,False,1.0,0.3333,1.0,1.0,1.0,0.8667,6,25,99,99.0,7.989,search_kb
variant,S1_rag_only,qwen2.5:3b,S1_rag_only:full,q18,answerable,False,0.5,0.0,0.0,1.0,1.0,0.5,8,22,101,101.0,5.043,search_kb
variant,S1_rag_only,qwen2.5:3b,S1_rag_only:full,q19,unanswerable,True,1.0,1.0,1.0,1.0,1.0,1.0,13,12,98,98.0,8.194,search_kb
variant,S1_rag_only,qwen2.5:3b,S1_rag_only:full,q20,unanswerable,True,1.0,1.0,1.0,0.0,1.0,0.8,7,10,17,17.0,0.0,
variant,S1_rag_only,qwen2.5:3b,S1_rag_only:full,q21,unanswerable,True,1.0,1.0,1.0,1.0,1.0,1.0,11,12,100,100.0,4.375,search_kb
variant,S1_rag_only,qwen2.5:3b,S1_rag_only:full,q22,unanswerable,True,1.0,1.0,1.0,0.0,1.0,0.8,9,9,18,18.0,0.0,
variant,S1_rag_only,qwen2.5:3b,S1_rag_only:full,q23,unanswerable,True,1.0,1.0,1.0,0.0,1.0,0.8,8,12,20,20.0,0.0,
variant,S1_rag_only,qwen2.5:3b,S1_rag_only:full,q24,unanswerable,True,1.0,1.0,1.0,0.0,1.0,0.8,7,9,16,16.0,0.0,
variant,S1_rag_only,qwen2.5:3b,S1_rag_only:full,q25,adversarial,True,1.0,1.0,1.0,0.0,1.0,0.8,15,10,25,25.0,0.0,
variant,S1_rag_only,qwen2.5:3b,S1_rag_only:full,q26,adversarial,False,0.75,0.3333,0.5,1.0,1.0,0.7167,11,25,106,106.0,9.108,search_kb
variant,S1_rag_only,qwen2.5:3b,S1_rag_only:full,q27,adversarial,True,1.0,1.0,1.0,0.0,1.0,0.8,10,10,20,20.0,0.0,
variant,S1_rag_only,qwen2.5:3b,S1_rag_only:full,q28,adversarial,True,1.0,1.0,1.0,0.0,1.0,0.8,9,13,22,22.0,0.0,
variant,S1_rag_only,qwen2.5:3b,S1_rag_only:full,q29,adversarial,True,1.0,1.0,1.0,0.0,1.0,0.8,12,8,20,20.0,0.0,
variant,S1_rag_only,qwen2.5:3b,S1_rag_only:full,q30,adversarial,True,1.0,1.0,1.0,0.0,1.0,0.8,9,8,17,17.0,0.0,
variant,S1_rag_only,qwen2.5:3b,S1_rag_only:full,q31,answerable,False,0.75,0.6667,0.5,1.0,1.0,0.7833,11,29,118,118.0,7.872,search_kb
variant,S1_rag_only,qwen2.5:3b,S1_rag_only:full,q32,answerable,False,1.0,0.6667,1.0,1.0,1.0,0.9333,13,28,107,107.0,8.231,search_kb
variant,S1_rag_only,qwen2.5:3b,S1_rag_only:full,q33,answerable,False,1.0,1.0,1.0,1.0,1.0,1.0,17,4,103,103.0,7.125,"calculator,search_kb"
variant,S1_rag_only,qwen2.5:3b,S1_rag_only:full,q34,answerable,False,1.0,1.0,1.0,1.0,1.0,1.0,10,4,94,94.0,4.833,"calculator,search_kb"
variant,S1_rag_only,qwen2.5:3b,S1_rag_only:full,q35,answerable,False,0.5,1.0,0.0,1.0,1.0,0.7,8,34,152,152.0,6.859,"eurlex_fetch,search_kb"
variant,S1_rag_only,qwen2.5:3b,S1_rag_only:full,q36,answerable,False,0.5,1.0,0.0,1.0,1.0,0.7,9,34,142,142.0,8.165,"eurlex_fetch,search_kb"
variant,S2_full_agent,qwen2.5:3b,S2_full_agent:full,q01,answerable,False,0.85,0.9,0.75,1.0,1.0,0.9,15,68,235,235.0,8.458,"search_kb,search_kb"
variant,S2_full_agent,qwen2.5:3b,S2_full_agent:full,q02,answerable,False,0.85,1.0,0.75,1.0,1.0,0.92,7,23,94,94.0,0.043,search_kb
variant,S2_full_agent,qwen2.5:3b,S2_full_agent:full,q03,answerable,False,0.9,1.0,0.85,1.0,1.0,0.95,8,32,119,119.0,0.042,search_kb
variant,S2_full_agent,qwen2.5:3b,S2_full_agent:full,q04,answerable,False,0.9,1.0,0.8,1.0,1.0,0.94,8,21,90,90.0,0.038,search_kb
variant,S2_full_agent,qwen2.5:3b,S2_full_agent:full,q05,answerable,False,0.8,1.0,0.5,1.0,1.0,0.86,8,28,101,101.0,0.039,search_kb
variant,S2_full_agent,qwen2.5:3b,S2_full_agent:full,q06,answerable,False,0.75,1.0,0.6667,1.0,1.0,0.8833,7,24,88,88.0,0.037,search_kb
variant,S2_full_agent,qwen2.5:3b,S2_full_agent:full,q07,answerable,False,0.9,1.0,0.85,1.0,1.0,0.95,8,28,100,100.0,0.04,search_kb
variant,S2_full_agent,qwen2.5:3b,S2_full_agent:full,q08,answerable,False,0.9,1.0,0.85,1.0,1.0,0.95,9,28,102,102.0,0.039,search_kb
variant,S2_full_agent,qwen2.5:3b,S2_full_agent:full,q09,answerable,False,0.85,1.0,0.95,1.0,1.0,0.96,10,21,92,92.0,0.039,search_kb
variant,S2_full_agent,qwen2.5:3b,S2_full_agent:full,q10,answerable,False,0.75,1.0,0.25,1.0,1.0,0.8,4,23,98,98.0,0.037,search_kb
variant,S2_full_agent,qwen2.5:3b,S2_full_agent:full,q11,multi_step,False,0.85,1.0,0.95,1.0,1.0,0.96,18,23,124,124.0,0.041,search_kb
variant,S2_full_agent,qwen2.5:3b,S2_full_agent:full,q12,multi_step,False,0.6,0.8,0.4,1.0,1.0,0.76,10,23,109,109.0,0.039,search_kb
variant,S2_full_agent,qwen2.5:3b,S2_full_agent:full,q13,multi_step,False,0.85,1.0,0.9,1.0,1.0,0.95,14,28,123,123.0,0.042,search_kb
variant,S2_full_agent,qwen2.5:3b,S2_full_agent:full,q14,multi_step,False,0.6,1.0,0.5,1.0,1.0,0.82,9,28,109,109.0,0.041,search_kb
variant,S2_full_agent,qwen2.5:3b,S2_full_agent:full,q15,answerable,False,0.85,1.0,0.67,1.0,1.0,0.904,5,27,104,104.0,0.042,search_kb
variant,S2_full_agent,qwen2.5:3b,S2_full_agent:full,q16,answerable,False,0.85,1.0,0.75,1.0,1.0,0.92,6,28,97,97.0,0.039,search_kb
variant,S2_full_agent,qwen2.5:3b,S2_full_agent:full,q17,answerable,False,0.85,1.0,0.9,1.0,1.0,0.95,6,25,99,99.0,0.04,search_kb
variant,S2_full_agent,qwen2.5:3b,S2_full_agent:full,q18,answerable,False,0.6,0.8,0.2,1.0,1.0,0.72,8,22,173,173.0,10.079,"search_kb,search_kb"
variant,S2_full_agent,qwen2.5:3b,S2_full_agent:full,q19,unanswerable,True,1.0,1.0,1.0,1.0,1.0,1.0,13,12,98,98.0,0.039,search_kb
variant,S2_full_agent,qwen2.5:3b,S2_full_agent:full,q20,unanswerable,True,1.0,1.0,1.0,1.0,1.0,1.0,7,10,17,17.0,0.0,
variant,S2_full_agent,qwen2.5:3b,S2_full_agent:full,q21,unanswerable,True,1.0,1.0,1.0,1.0,1.0,1.0,11,12,100,100.0,0.038,search_kb
variant,S2_full_agent,qwen2.5:3b,S2_full_agent:full,q22,unanswerable,True,1.0,1.0,1.0,1.0,1.0,1.0,9,9,18,18.0,0.0,
variant,S2_full_agent,qwen2.5:3b,S2_full_agent:full,q23,unanswerable,True,1.0,1.0,1.0,1.0,1.0,1.0,8,12,20,20.0,0.0,
variant,S2_full_agent,qwen2.5:3b,S2_full_agent:full,q24,unanswerable,True,1.0,1.0,1.0,1.0,1.0,1.0,7,9,16,16.0,0.0,
variant,S2_full_agent,qwen2.5:3b,S2_full_agent:full,q25,adversarial,True,1.0,1.0,1.0,1.0,1.0,1.0,15,10,25,25.0,0.0,
variant,S2_full_agent,qwen2.5:3b,S2_full_agent:full,q26,adversarial,False,0.85,1.0,0.75,1.0,1.0,0.92,11,25,106,106.0,0.04,search_kb
variant,S2_full_agent,qwen2.5:3b,S2_full_agent:full,q27,adversarial,True,1.0,1.0,1.0,1.0,1.0,1.0,10,10,20,20.0,0.0,
variant,S2_full_agent,qwen2.5:3b,S2_full_agent:full,q28,adversarial,True,1.0,1.0,1.0,1.0,1.0,1.0,9,13,22,22.0,0.0,
variant,S2_full_agent,qwen2.5:3b,S2_full_agent:full,q29,adversarial,True,1.0,1.0,1.0,1.0,1.0,1.0,12,8,20,20.0,0.0,
variant,S2_full_agent,qwen2.5:3b,S2_full_agent:full,q30,adversarial,True,1.0,1.0,1.0,1.0,1.0,1.0,9,8,17,17.0,0.0,
variant,S2_full_agent,qwen2.5:3b,S2_full_agent:full,q31,answerable,False,0.85,1.0,0.9,1.0,1.0,0.95,11,29,118,118.0,0.038,search_kb
variant,S2_full_agent,qwen2.5:3b,S2_full_agent:full,q32,answerable,False,0.8,1.0,0.5,1.0,1.0,0.86,13,28,107,107.0,0.039,search_kb
variant,S2_full_agent,qwen2.5:3b,S2_full_agent:full,q33,answerable,False,1.0,1.0,0.0,1.0,1.0,0.8,17,4,25,25.0,0.0,calculator
variant,S2_full_agent,qwen2.5:3b,S2_full_agent:full,q34,answerable,False,1.0,1.0,0.0,1.0,1.0,0.8,10,4,18,18.0,0.001,calculator
variant,S2_full_agent,qwen2.5:3b,S2_full_agent:full,q35,answerable,False,0.25,0.3,0.1,0.8,1.0,0.49,8,34,152,152.0,0.039,"eurlex_fetch,search_kb"
variant,S2_full_agent,qwen2.5:3b,S2_full_agent:full,q36,answerable,False,1.0,1.0,1.0,1.0,1.0,1.0,9,34,142,142.0,0.04,"eurlex_fetch,search_kb"
ablation,full,qwen2.5:3b,S2_full_agent:full,q01,answerable,False,0.75,0.0,0.5,1.0,1.0,0.65,15,68,235,235.0,0.082,"search_kb,search_kb"
ablation,full,qwen2.5:3b,S2_full_agent:full,q02,answerable,False,0.75,1.0,0.5,1.0,1.0,0.85,7,23,94,94.0,0.039,search_kb
ablation,full,qwen2.5:3b,S2_full_agent:full,q03,answerable,False,1.0,1.0,1.0,1.0,1.0,1.0,8,32,119,119.0,0.043,search_kb
ablation,full,qwen2.5:3b,S2_full_agent:full,q04,answerable,False,1.0,1.0,1.0,1.0,1.0,1.0,8,21,90,90.0,0.039,search_kb
ablation,full,qwen2.5:3b,S2_full_agent:full,q05,answerable,False,1.0,0.6667,1.0,1.0,1.0,0.9333,8,28,101,101.0,0.039,search_kb
ablation,full,qwen2.5:3b,S2_full_agent:full,q06,answerable,False,0.75,0.3333,0.5,1.0,1.0,0.7167,7,24,88,88.0,0.038,search_kb
ablation,full,qwen2.5:3b,S2_full_agent:full,q07,answerable,False,1.0,0.6667,1.0,1.0,1.0,0.9333,8,28,100,100.0,0.041,search_kb
ablation,full,qwen2.5:3b,S2_full_agent:full,q08,answerable,False,1.0,0.3333,1.0,1.0,1.0,0.8667,9,28,102,102.0,0.041,search_kb
ablation,full,qwen2.5:3b,S2_full_agent:full,q09,answerable,False,1.0,1.0,1.0,1.0,1.0,1.0,10,21,92,92.0,0.04,search_kb
ablation,full,qwen2.5:3b,S2_full_agent:full,q10,answerable,False,1.0,0.0,1.0,1.0,1.0,0.8,4,23,98,98.0,0.036,search_kb
ablation,full,qwen2.5:3b,S2_full_agent:full,q11,multi_step,False,0.8333,0.0,0.6667,1.0,1.0,0.7,18,23,124,124.0,0.042,search_kb
ablation,full,qwen2.5:3b,S2_full_agent:full,q12,multi_step,False,0.5,0.5,0.0,1.0,1.0,0.6,10,23,109,109.0,0.04,search_kb
ablation,full,qwen2.5:3b,S2_full_agent:full,q13,multi_step,False,1.0,0.25,1.0,1.0,1.0,0.85,14,28,123,123.0,0.041,search_kb
ablation,full,qwen2.5:3b,S2_full_agent:full,q14,multi_step,False,0.6667,1.0,0.3333,1.0,1.0,0.8,9,28,109,109.0,0.042,search_kb
ablation,full,qwen2.5:3b,S2_full_agent:full,q15,answerable,False,1.0,0.3333,1.0,1.0,1.0,0.8667,5,27,104,104.0,0.039,search_kb
ablation,full,qwen2.5:3b,S2_full_agent:full,q16,answerable,False,1.0,0.6667,1.0,1.0,1.0,0.9333,6,28,97,97.0,0.04,search_kb
ablation,full,qwen2.5:3b,S2_full_agent:full,q17,answerable,False,1.0,0.3333,1.0,1.0,1.0,0.8667,6,25,99,99.0,0.041,search_kb
ablation,full,qwen2.5:3b,S2_full_agent:full,q18,answerable,False,0.5,0.0,0.0,1.0,1.0,0.5,8,22,173,173.0,0.078,"search_kb,search_kb"
ablation,full,qwen2.5:3b,S2_full_agent:full,q19,unanswerable,True,1.0,1.0,1.0,1.0,1.0,1.0,13,12,98,98.0,0.04,search_kb
